sum,state
1,Alabama
48,Alaska
313,Arizona
169,Arkansas
1872,California
165,Colorado
90,Connecticut
53,Delaware
114,District of Columbia
1156,Florida
608,Georgia
15,Hawaii
30,Idaho
456,Illinois
337,Indiana
63,Iowa
93,Kansas
168,Kentucky
452,Louisiana
29,Maine
337,Maryland
132,Massachusetts
576,Michigan
110,Minnesota
173,Mississippi
439,Missouri
30,Montana
57,Nebraska
185,Nevada
16,New Hampshire
359,New Jersey
128,New Mexico
642,New York
493,North Carolina
15,North Dakota
455,Ohio
199,Oklahoma
84,Oregon
646,Pennsylvania
27,Rhodes Island
336,South Carolina
20,South Dakota
414,Tennessee
1324,Texas
72,Utah
11,Vermont
354,Virginia
206,Washington
74,West Virginia
171,Wisconsin
14,Wyoming
