sum,state
2,Alabama
41,Alaska
383,Arizona
156,Arkansas
1930,California
186,Colorado
93,Connecticut
41,Delaware
115,District of Columbia
1129,Florida
567,Georgia
24,Hawaii
30,Idaho
453,Illinois
350,Indiana
42,Iowa
118,Kansas
174,Kentucky
478,Louisiana
30,Maine
406,Maryland
136,Massachusetts
645,Michigan
127,Minnesota
147,Mississippi
405,Missouri
16,Montana
64,Nebraska
168,Nevada
23,New Hampshire
420,New Jersey
119,New Mexico
651,New York
477,North Carolina
11,North Dakota
474,Ohio
216,Oklahoma
85,Oregon
667,Pennsylvania
31,Rhodes Island
318,South Carolina
13,South Dakota
363,Tennessee
1272,Texas
51,Utah
11,Vermont
336,Virginia
194,Washington
58,West Virginia
182,Wisconsin
17,Wyoming
