sum,state
0,Alabama
36,Alaska
379,Arizona
160,Arkansas
1931,California
167,Colorado
130,Connecticut
48,Delaware
116,District of Columbia
1136,Florida
557,Georgia
24,Hawaii
31,Idaho
486,Illinois
307,Indiana
47,Iowa
117,Kansas
161,Kentucky
509,Louisiana
35,Maine
429,Maryland
184,Massachusetts
668,Michigan
82,Minnesota
195,Mississippi
402,Missouri
19,Montana
71,Nebraska
155,Nevada
17,New Hampshire
398,New Jersey
132,New Mexico
769,New York
507,North Carolina
14,North Dakota
499,Ohio
227,Oklahoma
92,Oregon
689,Pennsylvania
20,Rhodes Island
334,South Carolina
19,South Dakota
421,Tennessee
1217,Texas
55,Utah
11,Vermont
319,Virginia
183,Washington
84,West Virginia
147,Wisconsin
20,Wyoming
